Unit,TCode,Rent,Base,Criteria,Grace_Period,Legal_Rent,Deposit,From,To,Move_In,Move_Out,Months_Occupied,Last_Renewal,Tenant_Status,Roommates-Y,ACH-Y
4-1J,t0013584,0.00,5.00,% Owed-month,5.00,"4,241.09",0.00 , 06/30/18, 06/30/20, 06/30/18,,-1443,,Applicant,N,N
4-1K,t0007610,"1,725.00",50.00,Flat Amount,5.00,"2,789.88","2,789.88 ", 12/01/18, 11/30/20, 11/27/15,,-1411, 10/26/18,Current,Y,Y
4-1N,t0007897,0.00,5.00,% Owed-month,5.00,"3,183.79",0.00 , 01/31/16, 01/31/18, 01/31/16,,-1413,,Applicant,N,N
4-1N,t0008408,0.00,5.00,% Owed-month,5.00,"3,183.79",0.00 , 03/31/16, 03/31/18, 03/31/16,,-1415,,Applicant,N,N
4-1N,t0008568,"1,741.95",5.00,% Monthly Rent,5.00,"3,183.79","2,861.63 ", 04/29/16, 04/30/18, 04/29/16, 4/4/18,24,,Past,Y,N
4-1N,t0013757,"1,940.00",50.00,Flat Amount,5.00,"3,183.79","3,183.79 ", 07/12/18, 07/31/20, 07/12/18,,-1443,,Current,N,Y
4-1R,t0005773,960.00,0.00,% Owed-month,0.00,"2,842.13","1,454.00 ", 02/01/16, 01/31/17, 01/07/15, 3/31/16,15, 01/14/16,Past,N,N
4-1R,t0008573,"1,116.03",50.00,Flat Amount,5.00,"2,842.13","2,842.13 ", 04/01/19, 03/31/20, 04/01/16,,-1415, 03/25/19,Current,Y,Y
4-1S,t0006265,"2,225.00",50.00,Flat Amount,5.00,"3,568.63","3,829.75 ", 04/01/19, 03/31/21, 04/01/15,,-1403, 01/22/19,Current,Y,N
4-2C,t0013608,0.00,5.00,% Owed-month,5.00,"3,676.68",0.00 , 06/30/18, 06/30/20, 06/30/18,,-1443,,Applicant,N,N
4-2C,t0013617,0.00,5.00,% Owed-month,5.00,"3,676.68",0.00 , 06/30/18, 06/30/20, 06/30/18,,-1443,,Applicant,N,N
4-2C,t0013985,"1,686.01",50.00,Flat Amount,5.00,"3,676.68","2,729.00 ", 08/15/18, 08/31/20, 08/15/18,,-1444,,Current,N,Y
4-2C,t0013932,0.00,5.00,% Owed-month,5.00,"3,676.68",0.00 , 08/31/18, 08/31/20, 08/31/18,,-1445,,Applicant,N,N
4-2F,t0006276,"1,485.00",50.00,Flat Amount,5.00,"2,679.62","2,679.62 ", 04/01/19, 03/31/21, 04/01/15,,-1403, 12/27/18,Current,Y,Y
4-2K,t0011722,0.00,5.00,% Owed-month,5.00,"3,675.80",0.00 , 09/30/17, 09/30/19, 09/30/17,,-1434,,Applicant,N,N
4-2K,t0011790,0.00,5.00,% Owed-month,5.00,"3,675.80",0.00 , 10/31/17, 10/31/19, 10/31/17,,-1435,,Applicant,N,N
4-2K,t0012167,"1,669.73",50.00,Flat Amount,5.00,"3,675.80","3,675.80 ", 01/01/20, 12/31/21, 12/30/17,,-1437, 12/02/19,Current,N,Y
4-2N,t0008754,0.00,5.00,% Owed-month,5.00,,0.00 , 05/31/16, 05/31/18, 05/31/16,,-1417,,Applicant,N,N
4-2N,t0008844,0.00,5.00,% Owed-month,5.00,,0.00 , 05/31/16, 05/31/18, 05/31/16,,-1417,,Applicant,N,N
4-2N,t0008836,"1,785.00",50.00,Flat Amount,5.00,,"3,923.82 ", 06/01/18, 05/31/20, 05/27/16, 2/11/20,45, 05/08/18,Past,Y,N
4-2N,t0016492,0.00,50.00,Flat Amount,5.00,,"3,923.82 ", 02/12/20, 02/28/21, 02/12/20,,-1462,,Current,N,Y
4-2R,t0006009,0.00,5.00,% Owed-month,5.00,"2,745.37",, 02/28/15, 02/28/17, 02/28/15,,-1402,,Applicant,N,N
4-2R,t0006057,"1,415.00",5.00,% Owed-month,5.00,"2,745.37",0.00 , 02/28/15, 02/28/17, 02/28/15, 2/28/17,24,,Past,Y,N
4-2R,t0010217,"1,420.00",50.00,Flat Amount,5.00,"2,745.37","2,678.41 ", 04/01/19, 03/31/21, 04/01/17,,-1428, 01/15/19,Current,Y,Y
4-3B,t0009272,0.00,5.00,% Owed-month,5.00,"3,472.25","(3,751.32)", 07/31/16, 07/31/18, 07/31/16,,-1419,,Applicant,N,N
4-3B,t0009980,0.00,5.00,% Owed-month,5.00,"3,472.25",0.00 , 10/31/16, 10/31/18, 10/31/16,,-1422,,Applicant,N,N
4-3B,t0010017,"2,065.00",50.00,Flat Amount,5.00,"3,472.25","3,472.25 ", 12/01/18, 11/30/20, 12/01/16,,-1424, 10/17/18,Current,Y,Y
4-3C,t0009689,"1,745.00",50.00,Flat Amount,5.00,"3,047.22","3,047.22 ", 09/01/18, 08/31/20, 09/01/16,,-1420, 08/20/18,Current,N,Y
4-3D,t0009325,"1,200.00",5.00,% Monthly Rent,5.00,"2,296.84",952.52 , 08/01/16, 07/31/18, 08/01/16, 9/25/18,26,,Past,Y,N
4-3D,t0015010,"1,759.00",50.00,Flat Amount,5.00,"2,296.84","2,296.84 ", 04/01/19, 03/31/21, 04/01/19,,-1452,,Current,Y,Y
